iteration,config,value,elapsed_time
0,"{'N_estimators': 110, 'criterion': 'squared_error', 'Min_sample_leaves': 5, 'Min_impurity_decrease': 4.25, 'Max_depth': 19}",0.0,1
1,"{'N_estimators': 80, 'criterion': 'poisson', 'Min_sample_leaves': 2, 'Min_impurity_decrease': 6.75, 'Max_depth': 14}",1.0,1
2,"{'N_estimators': 150, 'criterion': 'squared_error', 'Min_sample_leaves': 8, 'Min_impurity_decrease': 3.75, 'Max_depth': 7}",0.0,1
3,"{'N_estimators': 40, 'criterion': 'poisson', 'Min_sample_leaves': 11, 'Min_impurity_decrease': 6.0, 'Max_depth': 2}",1.0,1
4,"{'N_estimators': 130, 'criterion': 'poisson', 'Min_sample_leaves': 1, 'Min_impurity_decrease': 4.0, 'Max_depth': 6}",1.0,1
5,"{'N_estimators': 30, 'criterion': 'poisson', 'Min_sample_leaves': 11, 'Min_impurity_decrease': 6.25, 'Max_depth': 6}",1.0,1
6,"{'N_estimators': 190, 'criterion': 'squared_error', 'Min_sample_leaves': 7, 'Min_impurity_decrease': 1.75, 'Max_depth': 1}",0.0,1
7,"{'N_estimators': 30, 'criterion': 'squared_error', 'Min_sample_leaves': 4, 'Min_impurity_decrease': 9.25, 'Max_depth': 10}",0.0,1
8,"{'N_estimators': 140, 'criterion': 'absolute_error', 'Min_sample_leaves': 12, 'Min_impurity_decrease': 2.5, 'Max_depth': 12}",0.0,1
9,"{'N_estimators': 80, 'criterion': 'poisson', 'Min_sample_leaves': 13, 'Min_impurity_decrease': 3.0, 'Max_depth': 4}",1.0,1
10,"{'N_estimators': 190, 'criterion': 'absolute_error', 'Min_sample_leaves': 5, 'Min_impurity_decrease': 7.25, 'Max_depth': 18}",0.0,1
11,"{'N_estimators': 200, 'criterion': 'absolute_error', 'Min_sample_leaves': 15, 'Min_impurity_decrease': 2.25, 'Max_depth': 2}",0.0,1
12,"{'N_estimators': 10, 'criterion': 'absolute_error', 'Min_sample_leaves': 19, 'Min_impurity_decrease': 2.5, 'Max_depth': 19}",0.0,1
13,"{'N_estimators': 140, 'criterion': 'squared_error', 'Min_sample_leaves': 4, 'Min_impurity_decrease': 9.75, 'Max_depth': 4}",0.0,1
14,"{'N_estimators': 10, 'criterion': 'absolute_error', 'Min_sample_leaves': 11, 'Min_impurity_decrease': 0.0, 'Max_depth': 20}",0.0,1
15,"{'N_estimators': 30, 'criterion': 'absolute_error', 'Min_sample_leaves': 18, 'Min_impurity_decrease': 5.0, 'Max_depth': 4}",0.0,1
16,"{'N_estimators': 100, 'criterion': 'absolute_error', 'Min_sample_leaves': 7, 'Min_impurity_decrease': 7.0, 'Max_depth': 20}",0.0,1
17,"{'N_estimators': 110, 'criterion': 'poisson', 'Min_sample_leaves': 2, 'Min_impurity_decrease': 8.75, 'Max_depth': 18}",1.0,1
18,"{'N_estimators': 160, 'criterion': 'poisson', 'Min_sample_leaves': 2, 'Min_impurity_decrease': 7.25, 'Max_depth': 12}",1.0,1
19,"{'N_estimators': 10, 'criterion': 'absolute_error', 'Min_sample_leaves': 18, 'Min_impurity_decrease': 8.5, 'Max_depth': 8}",0.0,1
